"Plot Title: FL_Keys_Tank4"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20663194, SEN S/N: 20663194, LBL: FL_Keys_Tank4)","Coupler Detached (LGR S/N: 20663194)","Coupler Attached (LGR S/N: 20663194)","Stopped (LGR S/N: 20663194)","End Of File (LGR S/N: 20663194)"
230,06/06/21 05:50:39 PM,34.903,,,,
231,06/06/21 05:51:39 PM,34.903,,,,
232,06/06/21 05:52:39 PM,34.903,,,,
233,06/06/21 05:53:39 PM,34.903,,,,
234,06/06/21 05:54:39 PM,35.009,,,,
235,06/06/21 05:55:39 PM,35.009,,,,
236,06/06/21 05:56:39 PM,35.115,,,,
237,06/06/21 05:57:39 PM,35.115,,,,
238,06/06/21 05:58:39 PM,35.115,,,,
239,06/06/21 05:59:39 PM,35.115,,,,
240,06/06/21 06:00:39 PM,35.222,,,,
241,06/06/21 06:01:39 PM,35.222,,,,
242,06/06/21 06:02:39 PM,35.115,,,,
243,06/06/21 06:03:39 PM,35.115,,,,
244,06/06/21 06:04:39 PM,35.115,,,,
245,06/06/21 06:05:39 PM,35.115,,,,
246,06/06/21 06:06:39 PM,35.115,,,,
247,06/06/21 06:07:39 PM,35.115,,,,
248,06/06/21 06:08:39 PM,35.115,,,,
249,06/06/21 06:09:39 PM,35.115,,,,
250,06/06/21 06:10:39 PM,35.115,,,,
251,06/06/21 06:11:39 PM,35.115,,,,
252,06/06/21 06:12:39 PM,35.115,,,,
253,06/06/21 06:13:39 PM,35.115,,,,
254,06/06/21 06:14:39 PM,35.115,,,,
255,06/06/21 06:15:39 PM,35.115,,,,
256,06/06/21 06:16:39 PM,35.115,,,,
257,06/06/21 06:17:39 PM,35.115,,,,
258,06/06/21 06:18:39 PM,35.115,,,,
259,06/06/21 06:19:39 PM,35.115,,,,
260,06/06/21 06:20:39 PM,35.115,,,,
261,06/06/21 06:21:39 PM,35.115,,,,
262,06/06/21 06:22:39 PM,35.115,,,,
263,06/06/21 06:23:39 PM,35.115,,,,
264,06/06/21 06:24:39 PM,35.115,,,,
265,06/06/21 06:25:39 PM,35.115,,,,
266,06/06/21 06:26:39 PM,35.115,,,,
267,06/06/21 06:27:39 PM,35.115,,,,
268,06/06/21 06:28:39 PM,35.115,,,,
269,06/06/21 06:29:39 PM,35.115,,,,
270,06/06/21 06:30:39 PM,35.115,,,,
271,06/06/21 06:31:39 PM,35.115,,,,
272,06/06/21 06:32:39 PM,35.115,,,,
273,06/06/21 06:33:39 PM,35.115,,,,
274,06/06/21 06:34:39 PM,35.115,,,,
