Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
20210610T1400_CBASS_US_MoteOff_Past_4_37_420_RNASeq_R2	17667643	6148020	17667643	2650146450	2118839	2589740379	2.2793484111038467
20210610T1400_CBASS_US_MoteOff_Past_4_37_750_RNASeq_R1	18467871	7573932	18467871	2770180650	1666113	2506330915	9.524640026635087
20210610T1400_CBASS_US_MoteOff_Past_4_37_750_RNASeq_R2	18467871	7554345	18467871	2770180650	2168284	2506256567	9.527323894923603
20210610T1400_CBASS_US_MoteOff_Past_4_39_1140_RNASeq_R1	18042361	11563944	18042361	2706354150	1756207	1681790227	37.85771802999249
20210610T1400_CBASS_US_MoteOff_Past_4_39_1140_RNASeq_R2	18042361	11546090	18042361	2706354150	2932202	1680439040	37.90764449656376
20210610T1400_CBASS_US_MoteOff_Past_4_39_180_RNASeq_R1	16611015	7154998	16611015	2491652250	1599690	2258399888	9.36135297371453
20210610T1400_CBASS_US_MoteOff_Past_4_39_180_RNASeq_R2	16611015	7136222	16611015	2491652250	2244266	2257951426	9.379351552769853
20210610T1400_CBASS_US_MoteOff_Past_4_39_360_RNASeq_R1	17060035	6322301	17060035	2559005250	3226269	2536093011	0.8953572486809083
20210610T1400_CBASS_US_MoteOff_Past_4_39_360_RNASeq_R2	17060035	6301565	17060035	2559005250	2529615	2536963448	0.8613425861474884
20210610T1400_CBASS_US_MoteOff_Past_4_39_420_RNASeq_R1	20988937	12283010	20988937	3148340550	2047997	2206460659	29.916709328029967
20210610T1400_CBASS_US_MoteOff_Past_4_39_420_RNASeq_R2	20988937	12282291	20988937	3148340550	3151430	2205764586	29.938818530924173
20210610T1400_CBASS_US_MoteOff_Past_4_39_750_RNASeq_R1	37643876	33694632	37643876	5646581400	1002299	1698661920	69.91698516911488
20210610T1400_CBASS_US_MoteOff_Past_4_39_750_RNASeq_R2	37643876	33705208	37643876	5646581400	6103535	1697413395	69.9390963353508
20210610T1400_CBASS_US_MoteOff_Past_4_T0_0_RNASeq_R1	13289398	4453729	13289398	1993409700	1033810	1977418678	0.8021944510453621
20210610T1400_CBASS_US_MoteOff_Past_4_T0_0_RNASeq_R2	13289398	4439911	13289398	1993409700	1495573	1977123385	0.8170079136265866
20210610T1400_CBASS_US_MoteOff_Past_4_only_seq_RNASeq_R1	18734460	6408145	18734460	2810169000	1409744	2768410474	1.4859791706477439
20210610T1400_CBASS_US_MoteOff_Past_4_only_seq_RNASeq_R2	18734460	6378313	18734460	2810169000	2077752	2768057902	1.498525462347638
20210610T1400_CBASS_US_MoteOff_Past_5_30_1140_RNASeq_R1	24943329	9613039	24943329	3741499350	1484960	3505486806	6.30796699189591
20210610T1400_CBASS_US_MoteOff_Past_5_30_1140_RNASeq_R2	24943329	9593596	24943329	3741499350	2593209	3504755885	6.3275025024392955
20210610T1400_CBASS_US_MoteOff_Past_5_30_180_RNASeq_R1	16230959	5918132	16230959	2434643850	1439520	2406645314	1.1500054104422706
20210610T1400_CBASS_US_MoteOff_Past_5_30_180_RNASeq_R2	16230959	5900669	16230959	2434643850	1970368	2406151941	1.1702700992590764
20210610T1400_CBASS_US_MoteOff_Past_5_30_360_RNASeq_R1	20321355	7385611	20321355	3048203250	2023205	2991951943	1.8453922650991204
20210610T1400_CBASS_US_MoteOff_Past_5_30_360_RNASeq_R2	20321355	7372566	20321355	3048203250	2492488	2991575186	1.8577522348616353
20210610T1400_CBASS_US_MoteOff_Past_5_30_420_RNASeq_R1	14683198	4980398	14683198	2202479700	1860042	2189468243	0.5907639920585874
20210610T1400_CBASS_US_MoteOff_Past_5_30_420_RNASeq_R2	14683198	4953436	14683198	2202479700	1856108	2189580160	0.5856825831357265
20210610T1400_CBASS_US_MoteOff_Past_5_30_750_RNASeq_R1	11378358	3909053	11378358	1706753700	1094452	1683444689	1.3656927182873546
20210610T1400_CBASS_US_MoteOff_Past_5_30_750_RNASeq_R2	11378358	3889817	11378358	1706753700	1169406	1683499492	1.3624817687519881
20210610T1400_CBASS_US_MoteOff_Past_5_34_1140_RNASeq_R1	20186789	7023148	20186789	3028018350	2489716	2935535336	3.054242191101649
20210610T1400_CBASS_US_MoteOff_Past_5_34_1140_RNASeq_R2	20186789	7041917	20186789	3028018350	3339350	2934558141	3.086513957222221
20210610T1400_CBASS_US_MoteOff_Past_5_34_180_RNASeq_R1	15958598	5609634	15958598	2393789700	1501629	2373313859	0.8553734273315655
20210610T1400_CBASS_US_MoteOff_Past_5_34_180_RNASeq_R2	15958598	5582828	15958598	2393789700	2116530	2372848410	0.8748174495027696
20210610T1400_CBASS_US_MoteOff_Past_5_34_360_RNASeq_R1	17580101	6190320	17580101	2637015150	2118720	2616750657	0.7684632756091674
20210610T1400_CBASS_US_MoteOff_Past_5_34_360_RNASeq_R2	17580101	6163674	17580101	2637015150	2172294	2616850871	0.7646629940673644
20210610T1400_CBASS_US_MoteOff_Past_5_34_420_RNASeq_R1	15338317	5131414	15338317	2300747550	1752338	2280515157	0.8793834421338403
20210610T1400_CBASS_US_MoteOff_Past_5_34_420_RNASeq_R2	15338317	5121843	15338317	2300747550	1654121	2280858391	0.8644650735366424
20210610T1400_CBASS_US_MoteOff_Past_5_34_750_RNASeq_R1	15869895	5472769	15869895	2380484250	1769002	2353818654	1.1201752752617455
20210610T1400_CBASS_US_MoteOff_Past_5_34_750_RNASeq_R2	15869895	5441134	15869895	2380484250	1819488	2353970207	1.113808797516724
20210610T1400_CBASS_US_MoteOff_Past_5_37_1140_RNASeq_R1	14179255	5593479	14179255	2126888250	1502217	1988932575	6.486268143142923
20210610T1400_CBASS_US_MoteOff_Past_5_37_1140_RNASeq_R2	14179255	5604195	14179255	2126888250	2402395	1988008720	6.529705075008055
20210610T1400_CBASS_US_MoteOff_Past_5_37_360_RNASeq_R1	19715161	7103925	19715161	2957274150	3109446	2929814499	0.9285460057871198
20210610T1400_CBASS_US_MoteOff_Past_5_37_360_RNASeq_R2	19715161	7083375	19715161	2957274150	2608966	2930502488	0.9052817101857128
20210610T1400_CBASS_US_MoteOff_Past_5_37_420_RNASeq_R1	18027889	6522265	18027889	2704183350	2715090	2604549255	3.6844430315718055
20210610T1400_CBASS_US_MoteOff_Past_5_37_420_RNASeq_R2	18027889	6501881	18027889	2704183350	2381963	2605167074	3.661596244943968
20210610T1400_CBASS_US_MoteOff_Past_5_37_750_RNASeq_R1	17643199	6330544	17643199	2646479850	2523916	2606859992	1.4970776369221175
20210610T1400_CBASS_US_MoteOff_Past_5_37_750_RNASeq_R2	17643199	6319710	17643199	2646479850	2182105	2607339080	1.4789747974087164
20210610T1400_CBASS_US_MoteOff_Past_5_39_1140_RNASeq_R1	17655995	6179289	17655995	2648399250	3304214	2587027042	2.317332177163243
20210610T1400_CBASS_US_MoteOff_Past_5_39_1140_RNASeq_R2	17655995	6146618	17655995	2648399250	3655915	2586140999	2.3507879712622635
20210610T1400_CBASS_US_MoteOff_Past_5_39_180_RNASeq_R1	19122312	9009165	19122312	2868346800	2077054	2535912195	11.589763308955527
20210610T1400_CBASS_US_MoteOff_Past_5_39_180_RNASeq_R2	19122312	9039386	19122312	2868346800	4211718	2533821971	11.662635389835009
20210610T1400_CBASS_US_MoteOff_Past_5_39_360_RNASeq_R1	19865199	8810394	19865199	2979779850	2481752	2643644094	11.280556716295669
20210610T1400_CBASS_US_MoteOff_Past_5_39_360_RNASeq_R2	19865199	8792708	19865199	2979779850	3302620	2643476036	11.286196663152817
20210610T1400_CBASS_US_MoteOff_Past_5_39_420_RNASeq_R1	17640855	6550915	17640855	2646128250	3690465	2611378370	1.3132349121778206
20210610T1400_CBASS_US_MoteOff_Past_5_39_420_RNASeq_R2	17640855	6529887	17640855	2646128250	2972543	2612236277	1.2808136944987454
20210610T1400_CBASS_US_MoteOff_Past_5_39_750_RNASeq_R1	27379107	11979765	27379107	4106866050	3198259	3700625677	9.891736619946492
20210610T1400_CBASS_US_MoteOff_Past_5_39_750_RNASeq_R2	27379107	11947323	27379107	4106866050	4401756	3700152819	9.90325046028711
20210610T1400_CBASS_US_MoteOff_Past_5_T0_0_RNASeq_R1	46278908	15941372	46278908	6941836200	5277355	6895553136	0.6667265355526539
20210610T1400_CBASS_US_MoteOff_Past_5_T0_0_RNASeq_R2	46278908	15820215	46278908	6941836200	15305865	6885571243	0.810519801662851
20210610T1400_CBASS_US_MoteOff_Past_5_only_seq_RNASeq_R1	20219051	6837160	20219051	3032857650	1432119	2997164185	1.1768921960448753
20210610T1400_CBASS_US_MoteOff_Past_5_only_seq_RNASeq_R2	20219051	6812989	20219051	3032857650	2100503	2996817704	1.1883164381289046
