Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
20210608T1400_CBASS_US_MoteIn_Past_6_37_1140_RNASeq_R2	18033390	6105654	18033390	2705008500	2082403	2664390308	1.5015920282690423
20210608T1400_CBASS_US_MoteIn_Past_6_37_180_RNASeq_R1	16748574	6110562	16748574	2512286100	1549223	2442532441	2.776501410408631
20210608T1400_CBASS_US_MoteIn_Past_6_37_180_RNASeq_R2	16748574	6100990	16748574	2512286100	2161864	2442001609	2.797630851040413
20210608T1400_CBASS_US_MoteIn_Past_6_37_360_RNASeq_R1	17190910	5844375	17190910	2578636500	1639720	2563646677	0.5813081060475177
20210608T1400_CBASS_US_MoteIn_Past_6_37_360_RNASeq_R2	17190910	5861688	17190910	2578636500	2226172	2563064149	0.6038986495382347
20210608T1400_CBASS_US_MoteIn_Past_6_37_420_RNASeq_R1	19467327	6754868	19467327	2920099050	1884180	2898662259	0.734111776105677
20210608T1400_CBASS_US_MoteIn_Past_6_37_420_RNASeq_R2	19467327	6741592	19467327	2920099050	2345589	2898347700	0.7448839791924181
20210608T1400_CBASS_US_MoteIn_Past_6_37_750_RNASeq_R1	19771709	6751603	19771709	2965756350	2842570	2947539023	0.6142556855690454
20210608T1400_CBASS_US_MoteIn_Past_6_37_750_RNASeq_R2	19771709	6730897	19771709	2965756350	2642131	2948014063	0.5982381863567451
20210608T1400_CBASS_US_MoteIn_Past_6_39_1140_RNASeq_R1	25940705	13940377	25940705	3891105750	3200873	2820794763	27.50660238416805
20210608T1400_CBASS_US_MoteIn_Past_6_39_1140_RNASeq_R2	25940705	13906176	25940705	3891105750	4518375	2821250945	27.494878672983898
20210608T1400_CBASS_US_MoteIn_Past_6_39_180_RNASeq_R1	17088385	7438437	17088385	2563257750	1852082	2168886379	15.385552662427335
20210608T1400_CBASS_US_MoteIn_Past_6_39_180_RNASeq_R2	17088385	7415111	17088385	2563257750	2885974	2168615732	15.39611137428532
20210608T1400_CBASS_US_MoteIn_Past_6_39_360_RNASeq_R1	14210908	4960208	14210908	2131636200	1121161	2066160365	3.0716233379785916
20210608T1400_CBASS_US_MoteIn_Past_6_39_360_RNASeq_R2	14210908	4880243	14210908	2131636200	1820971	2078743944	2.481298450457916
20210608T1400_CBASS_US_MoteIn_Past_6_39_420_RNASeq_R1	19815939	6995224	19815939	2972390850	2651795	2952927282	0.6548118663465808
20210608T1400_CBASS_US_MoteIn_Past_6_39_420_RNASeq_R2	19815939	6978492	19815939	2972390850	3300062	2952337419	0.6746565984079785
20210608T1400_CBASS_US_MoteIn_Past_6_39_750_RNASeq_R1	23323757	8865565	23323757	3498563550	4479984	3463014248	1.0161113694790538
20210608T1400_CBASS_US_MoteIn_Past_6_39_750_RNASeq_R2	23323757	8749238	23323757	3498563550	6065515	3461689238	1.0539843416593075
20210608T1400_CBASS_US_MoteIn_Past_6_T0_0_RNASeq_R1	21065409	7495019	21065409	3159811350	2181034	3120824114	1.2338469510213006
20210608T1400_CBASS_US_MoteIn_Past_6_T0_0_RNASeq_R2	21065409	7502146	21065409	3159811350	3109264	3119879362	1.263745951162559
