Sample_ID	Novogene_R
IPa07-L-T4	R77
IPa08-L-T4	R78
IPa09-L-T4	R79
IPa10-L-T4	R80
IPa06-M-T4	R81
IPa07-M-T4	R82
IPa08-M-T4	R83
IPa09-M-T4	R84
IPa10-M-T4	R85
IPa06-H-T4	R86
IPa07-H-T4	R87
IPa08-H-T4	R88
IPa09-H-T4	R89
IPa10-H-T4	R90
IPa06-C-T5	R91
IPa07-C-T5	R92
IPa08-C-T5	R93
IPa09-C-T5	R94
IPa10-C-T5	R95
IPa06-L-T5	R96
IPa07-L-T5	R97
IPa08-L-T5	R98
IPa09-L-T5	R99
IPa10-L-T5	R100
IPa06-M-T5	R101
IPa07-M-T5	R102
IPa08-M-T5	R103
IPa09-M-T5	R104
IPa10-M-T5	R105
IPa06-H-T5	R106
IPa07-H-T5	R107
IPa08-H-T5	R108
IPa09-H-T5	R109
IPa10-H-T5	R110
OPa-01-C-TF	R272
OPa-02-C-TF	R273
OPa-03-C-TF	R274
OPa-04-C-TF	R275
OPa-05-C-TF	R276
OPa-01-C-T0	R277
OPa-02-C-T0	R278
OPa-03-C-T0	R279
OPa-04-C-T0	R280
OPa-05-C-T0	R281
OPa-01-C-T1	R282
OPa-02-C-T1	R283
OPa-03-C-T1	R284
OPa-04-C-T1	R285
OPa-05-C-T1	R286
OPa-01-L-T1	R287
OPa-02-L-T1	R288
OPa-03-L-T1	R289
OPa-04-L-T1	R290
OPa-05-L-T1	R291
OPa-01-M-T1	R292
OPa-02-M-T1	R293
OPa-03-M-T1	R294
OPa-04-M-T1	R295
OPa-05-M-T1	R296
OPa-01-H-T1	R297
OPa-02-H-T1	R298
OPa-03-H-T1	R299
OPa-04-H-T1	R300
OPa-05-H-T1	R301
OPa-01-C-T2	R302
OPa-02-C-T2	R303
OPa-03-C-T2	R304
OPa-04-C-T2	R305
OPa-05-C-T2	R306
OPa-01-L-T2	R307
OPa-02-L-T2	R308
OPa-03-L-T2	R309
OPa-04-L-T2	R310
OPa-05-L-T2	R311
OPa-01-M-T2	R312
OPa-02-M-T2	R313
OPa-03-M-T2	R314
OPa-04-M-T2	R315
OPa-05-M-T2	R316
OPa-01-H-T2	R317
OPa-02-H-T2	R318
OPa-03-H-T2	R319
OPa-04-H-T2	R320
OPa-05-H-T2	R321
OPa-01-C-T3	R322
OPa-02-C-T3	R323
OPa-03-C-T3	R324
OPa-04-C-T3	R325
OPa-05-C-T3	R326
OPa-01-L-T3	R327
OPa-02-L-T3	R328
OPa-03-L-T3	R329
OPa-04-L-T3	R330
OPa-05-L-T3	R331
OPa-01-M-T3	R332
OPa-02-M-T3	R333
OPa-03-M-T3	R334
OPa-04-M-T3	R335
OPa-05-M-T3	R336
OPa-01-H-T3	R337
OPa-02-H-T3	R338
OPa-03-H-T3	R339
OPa-04-H-T3	R340
OPa-05-H-T3	R341
OPa-01-C-T4	R342
OPa-02-C-T4	R343
OPa-03-C-T4	R344
OPa-04-C-T4	R345
OPa-05-C-T4	R346
OPa-01-L-T4	R347
OPa-02-L-T4	R348
OPa-03-L-T4	R349
OPa-04-L-T4	R350
OPa-05-L-T4	R351
OPa-01-M-T4	R352
OPa-02-M-T4	R353
OPa-03-M-T4	R354
OPa-04-M-T4	R355
OPa-05-M-T4	R356
OPa-01-H-T4	R357
OPa-02-H-T4	R358
OPa-03-H-T4	R359
OPa-04-H-T4	R360
OPa-05-H-T4	R361
OPa-01-C-T5	R362
OPa-02-C-T5	R363
OPa-03-C-T5	R364
OPa-04-C-T5	R365
OPa-05-C-T5	R366
OPa-01-L-T5	R367
OPa-02-L-T5	R368
OPa-03-L-T5	R369
OPa-04-L-T5	R370
OPa-05-L-T5	R371
OPa-01-M-T5	R372
OPa-02-M-T5	R373
OPa-03-M-T5	R374
OPa-04-M-T5	R375
OPa-05-M-T5	R376
OPa-01-H-T5	R377
OPa-02-H-T5	R378
OPa-03-H-T5	R379
OPa-04-H-T5	R380
OPa-05-H-T5	R381
2MAc07-C-TF	R382
2MAc31-C-TF	R383
2MAc34-C-TF	R384
2MAc41-C-TF	R385
2MAc48-C-TF	R386
2MAc50-C-TF	R387
2MAc62-C-TF	R388
2MAcCM5-C-TF	R389
2MAc07-C-T0	R390
2MAc31-C-T0	R391
2MAc34-C-T0	R392
2MAc41-C-T0	R393
2MAc48-C-T0	R394
2MAc50-C-T0	R395
2MAc62-C-T0	R396
2MAcCM5-C-T0	R397
2MAc07-C-T1	R398
2MAc31-C-T1	R399
2MAc34-C-T1	R400
2MAc41-C-T1	R401
2MAc48-C-T1	R402
2MAc50-C-T1	R403
2MAc62-C-T1	R404
2MAcCM5-C-T1	R405
2MAc07-L-T1	R406
2MAc31-L-T1	R407
2MAc34-L-T1	R408
2MAc41-L-T1	R409
2MAc48-L-T1	R410
2MAc50-L-T1	R411
2MAc62-L-T1	R412
2MAcCM5-L-T1	R413
2MAc07-M-T1	R414
2MAc31-M-T1	R415
2MAc34-M-T1	R416
2MAc41-M-T1	R417
2MAc48-M-T1	R418
2MAc50-M-T1	R419
2MAc62-M-T1	R420
2MAcCM5-M-T1	R421
2MAc07-H-T1	R422
2MAc31-H-T1	R423
2MAc34-H-T1	R424
2MAc41-H-T1	R425
2MAc48-H-T1	R426
2MAc50-H-T1	R427
2MAc62-H-T1	R428
2MAcCM5-H-T1	R429
2MAc07-C-T2	R430
2MAc31-C-T2	R431
2MAc34-C-T2	R432
2MAc41-C-T2	R433
2MAc48-C-T2	R434
2MAc50-C-T2	R435
2MAc62-C-T2	R436
2MAcCM5-C-T2	R437
2MAc07-L-T2	R438
2MAc31-L-T2	R439
2MAc34-L-T2	R440
2MAc41-L-T2	R441
2MAc48-L-T2	R442
2MAc50-L-T2	R443
