Old_name	New_name
"R336_1.fq.gz"	"OPa-05-M-T3_1.fq.gz"
"R337_1.fq.gz"	"OPa-01-H-T3_1.fq.gz"
"R338_1.fq.gz"	"OPa-02-H-T3_1.fq.gz"
"R339_1.fq.gz"	"OPa-03-H-T3_1.fq.gz"
"R340_1.fq.gz"	"OPa-04-H-T3_1.fq.gz"
"R341_1.fq.gz"	"OPa-05-H-T3_1.fq.gz"
"R34_1.fq.gz"	"IPa09-C-T2_1.fq.gz"
"R342_1.fq.gz"	"OPa-01-C-T4_1.fq.gz"
"R343_1.fq.gz"	"OPa-02-C-T4_1.fq.gz"
"R344_1.fq.gz"	"OPa-03-C-T4_1.fq.gz"
"R345_1.fq.gz"	"OPa-04-C-T4_1.fq.gz"
"R349_1.fq.gz"	"OPa-03-L-T4_1.fq.gz"
"R350_1.fq.gz"	"OPa-04-L-T4_1.fq.gz"
"R35_1.fq.gz"	"IPa10-C-T2_1.fq.gz"
"R352_1.fq.gz"	"OPa-01-M-T4_1.fq.gz"
"R353_1.fq.gz"	"OPa-02-M-T4_1.fq.gz"
"R354_1.fq.gz"	"OPa-03-M-T4_1.fq.gz"
"R355_1.fq.gz"	"OPa-04-M-T4_1.fq.gz"
"R356_1.fq.gz"	"OPa-05-M-T4_1.fq.gz"
"R357_1.fq.gz"	"OPa-01-H-T4_1.fq.gz"
"R358_1.fq.gz"	"OPa-02-H-T4_1.fq.gz"
"R359_1.fq.gz"	"OPa-03-H-T4_1.fq.gz"
"R360_1.fq.gz"	"OPa-04-H-T4_1.fq.gz"
"R361_1.fq.gz"	"OPa-05-H-T4_1.fq.gz"
"R36_1.fq.gz"	"IPa06-L-T2_1.fq.gz"
"R362_1.fq.gz"	"OPa-01-C-T5_1.fq.gz"
"R364_1.fq.gz"	"OPa-03-C-T5_1.fq.gz"
"R365_1.fq.gz"	"OPa-04-C-T5_1.fq.gz"
"R366_1.fq.gz"	"OPa-05-C-T5_1.fq.gz"
"R368_1.fq.gz"	"OPa-02-L-T5_1.fq.gz"
"R369_1.fq.gz"	"OPa-03-L-T5_1.fq.gz"
"R370_1.fq.gz"	"OPa-04-L-T5_1.fq.gz"
"R371_1.fq.gz"	"OPa-05-L-T5_1.fq.gz"
"R37_1.fq.gz"	"IPa07-L-T2_1.fq.gz"
"R373_1.fq.gz"	"OPa-02-M-T5_1.fq.gz"
"R374_1.fq.gz"	"OPa-03-M-T5_1.fq.gz"
"R375_1.fq.gz"	"OPa-04-M-T5_1.fq.gz"
"R376_1.fq.gz"	"OPa-05-M-T5_1.fq.gz"
"R377_1.fq.gz"	"OPa-01-H-T5_1.fq.gz"
"R378_1.fq.gz"	"OPa-02-H-T5_1.fq.gz"
"R379_1.fq.gz"	"OPa-03-H-T5_1.fq.gz"
"R380_1.fq.gz"	"OPa-04-H-T5_1.fq.gz"
"R381_1.fq.gz"	"OPa-05-H-T5_1.fq.gz"
"R39_1.fq.gz"	"IPa09-L-T2_1.fq.gz"
"R40_1.fq.gz"	"IPa10-L-T2_1.fq.gz"
"R407_1.fq.gz"	"2MAc31-L-T1_1.fq.gz"
"R41_1.fq.gz"	"IPa06-M-T2_1.fq.gz"
"R416_1.fq.gz"	"2MAc34-M-T1_1.fq.gz"
"R417_1.fq.gz"	"2MAc41-M-T1_1.fq.gz"
"R419_1.fq.gz"	"2MAc50-M-T1_1.fq.gz"
"R4_1.fq.gz"	"IPa09-C-TF_1.fq.gz"
"R42_1.fq.gz"	"IPa07-M-T2_1.fq.gz"
"R423_1.fq.gz"	"2MAc31-H-T1_1.fq.gz"
"R429_1.fq.gz"	"2MAcCM5-H-T1_1.fq.gz"
"R43_1.fq.gz"	"IPa08-M-T2_1.fq.gz"
"R437_1.fq.gz"	"2MAcCM5-C-T2_1.fq.gz"
"R438_1.fq.gz"	"2MAc07-L-T2_1.fq.gz"
"R44_1.fq.gz"	"IPa09-M-T2_1.fq.gz"
"R443_1.fq.gz"	"2MAc50-L-T2_1.fq.gz"
"R45_1.fq.gz"	"IPa10-M-T2_1.fq.gz"
"R454_1.fq.gz"	"2MAc07-H-T2_1.fq.gz"
"R455_1.fq.gz"	"2MAc31-H-T2_1.fq.gz"
"R456_1.fq.gz"	"2MAc34-H-T2_1.fq.gz"
"R457_1.fq.gz"	"2MAc41-H-T2_1.fq.gz"
"R458_1.fq.gz"	"2MAc48-H-T2_1.fq.gz"
"R459_1.fq.gz"	"2MAc50-H-T2_1.fq.gz"
"R460_1.fq.gz"	"2MAc62-H-T2_1.fq.gz"
"R461_1.fq.gz"	"2MAcCM5-H-T2_1.fq.gz"
"R46_1.fq.gz"	"IPa06-H-T2_1.fq.gz"
"R47_1.fq.gz"	"IPa07-H-T2_1.fq.gz"
"R48_1.fq.gz"	"IPa08-H-T2_1.fq.gz"
"R49_1.fq.gz"	"IPa09-H-T2_1.fq.gz"
"R50_1.fq.gz"	"IPa10-H-T2_1.fq.gz"
"R51_1.fq.gz"	"IPa06-C-T3_1.fq.gz"
"R5_1.fq.gz"	"IPa10-C-TF_1.fq.gz"
"R52_1.fq.gz"	"IPa07-C-T3_1.fq.gz"
"R53_1.fq.gz"	"IPa08-C-T3_1.fq.gz"
"R54_1.fq.gz"	"IPa09-C-T3_1.fq.gz"
"R55_1.fq.gz"	"IPa10-C-T3_1.fq.gz"
"R56_1.fq.gz"	"IPa06-L-T3_1.fq.gz"
"R57_1.fq.gz"	"IPa07-L-T3_1.fq.gz"
"R58_1.fq.gz"	"IPa08-L-T3_1.fq.gz"
"R59_1.fq.gz"	"IPa09-L-T3_1.fq.gz"
"R60_1.fq.gz"	"IPa10-L-T3_1.fq.gz"
"R61_1.fq.gz"	"IPa06-M-T3_1.fq.gz"
"R6_1.fq.gz"	"IPa06-C-T0_1.fq.gz"
"R62_1.fq.gz"	"IPa07-M-T3_1.fq.gz"
"R63_1.fq.gz"	"IPa08-M-T3_1.fq.gz"
"R64_1.fq.gz"	"IPa09-M-T3_1.fq.gz"
"R65_1.fq.gz"	"IPa10-M-T3_1.fq.gz"
"R66_1.fq.gz"	"IPa06-H-T3_1.fq.gz"
"R67_1.fq.gz"	"IPa07-H-T3_1.fq.gz"
"R68_1.fq.gz"	"IPa08-H-T3_1.fq.gz"
"R69_1.fq.gz"	"IPa09-H-T3_1.fq.gz"
"R70_1.fq.gz"	"IPa10-H-T3_1.fq.gz"
"R71_1.fq.gz"	"IPa06-C-T4_1.fq.gz"
"R7_1.fq.gz"	"IPa07-C-T0_1.fq.gz"
"R72_1.fq.gz"	"IPa07-C-T4_1.fq.gz"
"R73_1.fq.gz"	"IPa08-C-T4_1.fq.gz"
"R74_1.fq.gz"	"IPa09-C-T4_1.fq.gz"
"R75_1.fq.gz"	"IPa10-C-T4_1.fq.gz"
"R76_1.fq.gz"	"IPa06-L-T4_1.fq.gz"
"R77_1.fq.gz"	"IPa07-L-T4_1.fq.gz"
"R78_1.fq.gz"	"IPa08-L-T4_1.fq.gz"
"R79_1.fq.gz"	"IPa09-L-T4_1.fq.gz"
"R80_1.fq.gz"	"IPa10-L-T4_1.fq.gz"
"R81_1.fq.gz"	"IPa06-M-T4_1.fq.gz"
"R8_1.fq.gz"	"IPa08-C-T0_1.fq.gz"
"R82_1.fq.gz"	"IPa07-M-T4_1.fq.gz"
"R83_1.fq.gz"	"IPa08-M-T4_1.fq.gz"
"R84_1.fq.gz"	"IPa09-M-T4_1.fq.gz"
"R85_1.fq.gz"	"IPa10-M-T4_1.fq.gz"
"R86_1.fq.gz"	"IPa06-H-T4_1.fq.gz"
"R87_1.fq.gz"	"IPa07-H-T4_1.fq.gz"
"R88_1.fq.gz"	"IPa08-H-T4_1.fq.gz"
"R89_1.fq.gz"	"IPa09-H-T4_1.fq.gz"
"R90_1.fq.gz"	"IPa10-H-T4_1.fq.gz"
"R91_1.fq.gz"	"IPa06-C-T5_1.fq.gz"
"R9_1.fq.gz"	"IPa09-C-T0_1.fq.gz"
"R92_1.fq.gz"	"IPa07-C-T5_1.fq.gz"
"R94_1.fq.gz"	"IPa09-C-T5_1.fq.gz"
"R95_1.fq.gz"	"IPa10-C-T5_1.fq.gz"
"R96_1.fq.gz"	"IPa06-L-T5_1.fq.gz"
"R97_1.fq.gz"	"IPa07-L-T5_1.fq.gz"
"R98_1.fq.gz"	"IPa08-L-T5_1.fq.gz"
"R99_1.fq.gz"	"IPa09-L-T5_1.fq.gz"
"RE151_1.fq.gz"	"2MAc07-H-T3_1.fq.gz"
"RE152_1.fq.gz"	"2MAc31-H-T3_1.fq.gz"
"RE153_1.fq.gz"	"2MAc34-H-T3_1.fq.gz"
"RE154_1.fq.gz"	"2MAc41-H-T3_1.fq.gz"
"RE155_1.fq.gz"	"2MAc48-H-T3_1.fq.gz"
"RE156_1.fq.gz"	"2MAc50-H-T3_1.fq.gz"
"RE157_1.fq.gz"	"2MAc62-H-T3_1.fq.gz"
"RE158_1.fq.gz"	"2MAcCM5-H-T3_1.fq.gz"
"RE159_1.fq.gz"	"2MAc07-C-T4_1.fq.gz"
"RE168_1.fq.gz"	"2MAc31-L-T4_1.fq.gz"
"RE183_1.fq.gz"	"2MAc07-H-T4_1.fq.gz"
"RE184_1.fq.gz"	"2MAc31-H-T4_1.fq.gz"
"RE185_1.fq.gz"	"2MAc34-H-T4_1.fq.gz"
"RE186_1.fq.gz"	"2MAc41-H-T4_1.fq.gz"
"RE187_1.fq.gz"	"2MAc48-H-T4_1.fq.gz"
"RE188_1.fq.gz"	"2MAc50-H-T4_1.fq.gz"
"RE189_1.fq.gz"	"2MAc62-H-T4_1.fq.gz"
"RE190_1.fq.gz"	"2MAcCM5-H-T4_1.fq.gz"
"RE192_1.fq.gz"	"2MAc31-C-T5_1.fq.gz"
"RE195_1.fq.gz"	"2MAc48-C-T5_1.fq.gz"
"RE200_1.fq.gz"	"2MAc31-L-T5_1.fq.gz"
"RR143_1.fq.gz"	"2MAc34-L-T5_1.fq.gz"
"RR147_1.fq.gz"	"2MAc62-L-T5_1.fq.gz"
"RR153_1.fq.gz"	"2MAc48-M-T5_1.fq.gz"
"RR154_1.fq.gz"	"2MAc50-M-T5_1.fq.gz"
"RR155_1.fq.gz"	"2MAc62-M-T5_1.fq.gz"
"RR157_1.fq.gz"	"2MAc07-H-T5_1.fq.gz"
"RR158_1.fq.gz"	"2MAc31-H-T5_1.fq.gz"
"RR159_1.fq.gz"	"2MAc34-H-T5_1.fq.gz"
"RR160_1.fq.gz"	"2MAc41-H-T5_1.fq.gz"
"RR161_1.fq.gz"	"2MAc48-H-T5_1.fq.gz"
"RR162_1.fq.gz"	"2MAc50-H-T5_1.fq.gz"
"RR163_1.fq.gz"	"2MAc62-H-T5_1.fq.gz"
"RR164_1.fq.gz"	"2MAcCM5-H-T5_1.fq.gz"
"R38_1.fq.gz"	"IPa08-L-T2_1.fq.gz"
"R93_1.fq.gz"	"IPa08-C-T5_1.fq.gz"
"R283_1.fq.gz"	"OPa-02-C-T1_1.fq.gz"
"R286_1.fq.gz"	"OPa-05-C-T1_1.fq.gz"
"R296_1.fq.gz"	"OPa-05-M-T1_1.fq.gz"
"R315_1.fq.gz"	"OPa-04-M-T2_1.fq.gz"
"R322_1.fq.gz"	"OPa-01-C-T3_1.fq.gz"
"R346_1.fq.gz"	"OPa-05-C-T4_1.fq.gz"
"R347_1.fq.gz"	"OPa-01-L-T4_1.fq.gz"
"R348_1.fq.gz"	"OPa-02-L-T4_1.fq.gz"
"R351_1.fq.gz"	"OPa-05-L-T4_1.fq.gz"
"R363_1.fq.gz"	"OPa-02-C-T5_1.fq.gz"
"R367_1.fq.gz"	"OPa-01-L-T5_1.fq.gz"
"R372_1.fq.gz"	"OPa-01-M-T5_1.fq.gz"
"R382_1.fq.gz"	"2MAc07-C-TF_1.fq.gz"
"R383_1.fq.gz"	"2MAc31-C-TF_1.fq.gz"
"R384_1.fq.gz"	"2MAc34-C-TF_1.fq.gz"
"R385_1.fq.gz"	"2MAc41-C-TF_1.fq.gz"
"R386_1.fq.gz"	"2MAc48-C-TF_1.fq.gz"
"R387_1.fq.gz"	"2MAc50-C-TF_1.fq.gz"
"R388_1.fq.gz"	"2MAc62-C-TF_1.fq.gz"
"R389_1.fq.gz"	"2MAcCM5-C-TF_1.fq.gz"
"R390_1.fq.gz"	"2MAc07-C-T0_1.fq.gz"
"R391_1.fq.gz"	"2MAc31-C-T0_1.fq.gz"
"R392_1.fq.gz"	"2MAc34-C-T0_1.fq.gz"
"R393_1.fq.gz"	"2MAc41-C-T0_1.fq.gz"
"R394_1.fq.gz"	"2MAc48-C-T0_1.fq.gz"
"R395_1.fq.gz"	"2MAc50-C-T0_1.fq.gz"
"R396_1.fq.gz"	"2MAc62-C-T0_1.fq.gz"
"R397_1.fq.gz"	"2MAcCM5-C-T0_1.fq.gz"
"R398_1.fq.gz"	"2MAc07-C-T1_1.fq.gz"
"R399_1.fq.gz"	"2MAc31-C-T1_1.fq.gz"
"R400_1.fq.gz"	"2MAc34-C-T1_1.fq.gz"
"R401_1.fq.gz"	"2MAc41-C-T1_1.fq.gz"
"R402_1.fq.gz"	"2MAc48-C-T1_1.fq.gz"
"R403_1.fq.gz"	"2MAc50-C-T1_1.fq.gz"
"R404_1.fq.gz"	"2MAc62-C-T1_1.fq.gz"
"R405_1.fq.gz"	"2MAcCM5-C-T1_1.fq.gz"
"R406_1.fq.gz"	"2MAc07-L-T1_1.fq.gz"
"R408_1.fq.gz"	"2MAc34-L-T1_1.fq.gz"
"R409_1.fq.gz"	"2MAc41-L-T1_1.fq.gz"
"R410_1.fq.gz"	"2MAc48-L-T1_1.fq.gz"
"R411_1.fq.gz"	"2MAc50-L-T1_1.fq.gz"
"R412_1.fq.gz"	"2MAc62-L-T1_1.fq.gz"
"R413_1.fq.gz"	"2MAcCM5-L-T1_1.fq.gz"
"R414_1.fq.gz"	"2MAc07-M-T1_1.fq.gz"
"R415_1.fq.gz"	"2MAc31-M-T1_1.fq.gz"
"R418_1.fq.gz"	"2MAc48-M-T1_1.fq.gz"
"R420_1.fq.gz"	"2MAc62-M-T1_1.fq.gz"
"R421_1.fq.gz"	"2MAcCM5-M-T1_1.fq.gz"
"R422_1.fq.gz"	"2MAc07-H-T1_1.fq.gz"
"R424_1.fq.gz"	"2MAc34-H-T1_1.fq.gz"
"R425_1.fq.gz"	"2MAc41-H-T1_1.fq.gz"
"R426_1.fq.gz"	"2MAc48-H-T1_1.fq.gz"
"R427_1.fq.gz"	"2MAc50-H-T1_1.fq.gz"
"R428_1.fq.gz"	"2MAc62-H-T1_1.fq.gz"
"R430_1.fq.gz"	"2MAc07-C-T2_1.fq.gz"
"R431_1.fq.gz"	"2MAc31-C-T2_1.fq.gz"
"R432_1.fq.gz"	"2MAc34-C-T2_1.fq.gz"
"R433_1.fq.gz"	"2MAc41-C-T2_1.fq.gz"
"R434_1.fq.gz"	"2MAc48-C-T2_1.fq.gz"
"R435_1.fq.gz"	"2MAc50-C-T2_1.fq.gz"
"R436_1.fq.gz"	"2MAc62-C-T2_1.fq.gz"
"R439_1.fq.gz"	"2MAc31-L-T2_1.fq.gz"
"R440_1.fq.gz"	"2MAc34-L-T2_1.fq.gz"
"R441_1.fq.gz"	"2MAc41-L-T2_1.fq.gz"
"R442_1.fq.gz"	"2MAc48-L-T2_1.fq.gz"
"R444_1.fq.gz"	"2MAc62-L-T2_1.fq.gz"
"R445_1.fq.gz"	"2MAcCM5-L-T2_1.fq.gz"
"R446_1.fq.gz"	"2MAc07-M-T2_1.fq.gz"
"R447_1.fq.gz"	"2MAc31-M-T2_1.fq.gz"
"R448_1.fq.gz"	"2MAc34-M-T2_1.fq.gz"
"R449_1.fq.gz"	"2MAc41-M-T2_1.fq.gz"
"R450_1.fq.gz"	"2MAc48-M-T2_1.fq.gz"
"R451_1.fq.gz"	"2MAc50-M-T2_1.fq.gz"
"R452_1.fq.gz"	"2MAc62-M-T2_1.fq.gz"
"R453_1.fq.gz"	"2MAcCM5-M-T2_1.fq.gz"
"R462_1.fq.gz"	"2MAc07-C-T3_1.fq.gz"
"R463_1.fq.gz"	"2MAc31-C-T3_1.fq.gz"
"R464_1.fq.gz"	"2MAc34-C-T3_1.fq.gz"
"R465_1.fq.gz"	"2MAc41-C-T3_1.fq.gz"
"R466_1.fq.gz"	"2MAc48-C-T3_1.fq.gz"
"R467_1.fq.gz"	"2MAc50-C-T3_1.fq.gz"
"R468_1.fq.gz"	"2MAc62-C-T3_1.fq.gz"
"R469_1.fq.gz"	"2MAcCM5-C-T3_1.fq.gz"
"R470_1.fq.gz"	"2MAc07-L-T3_1.fq.gz"
"R471_1.fq.gz"	"2MAc31-L-T3_1.fq.gz"
"R472_1.fq.gz"	"2MAc34-L-T3_1.fq.gz"
"R473_1.fq.gz"	"2MAc41-L-T3_1.fq.gz"
"R474_1.fq.gz"	"2MAc48-L-T3_1.fq.gz"
"R475_1.fq.gz"	"2MAc50-L-T3_1.fq.gz"
"R476_1.fq.gz"	"2MAc62-L-T3_1.fq.gz"
"RE142_1.fq.gz"	"2MAcCM5-L-T3_1.fq.gz"
"RE143_1.fq.gz"	"2MAc07-M-T3_1.fq.gz"
"RE144_1.fq.gz"	"2MAc31-M-T3_1.fq.gz"
"RE145_1.fq.gz"	"2MAc34-M-T3_1.fq.gz"
"RE146_1.fq.gz"	"2MAc41-M-T3_1.fq.gz"
"RE147_1.fq.gz"	"2MAc48-M-T3_1.fq.gz"
"RE148_1.fq.gz"	"2MAc50-M-T3_1.fq.gz"
"RE149_1.fq.gz"	"2MAc62-M-T3_1.fq.gz"
"RE150_1.fq.gz"	"2MAcCM5-M-T3_1.fq.gz"
"RE160_1.fq.gz"	"2MAc31-C-T4_1.fq.gz"
"RE161_1.fq.gz"	"2MAc34-C-T4_1.fq.gz"
"RE162_1.fq.gz"	"2MAc41-C-T4_1.fq.gz"
"RE163_1.fq.gz"	"2MAc48-C-T4_1.fq.gz"
"RE164_1.fq.gz"	"2MAc50-C-T4_1.fq.gz"
"RE165_1.fq.gz"	"2MAc62-C-T4_1.fq.gz"
"RE166_1.fq.gz"	"2MAcCM5-C-T4_1.fq.gz"
"RE167_1.fq.gz"	"2MAc07-L-T4_1.fq.gz"
"RE169_1.fq.gz"	"2MAc34-L-T4_1.fq.gz"
"RE170_1.fq.gz"	"2MAc41-L-T4_1.fq.gz"
"RE171_1.fq.gz"	"2MAc48-L-T4_1.fq.gz"
"RE172_1.fq.gz"	"2MAc50-L-T4_1.fq.gz"
"RE173_1.fq.gz"	"2MAc62-L-T4_1.fq.gz"
"RE174_1.fq.gz"	"2MAcCM5-L-T4_1.fq.gz"
"RE175_1.fq.gz"	"2MAc07-M-T4_1.fq.gz"
"RE176_1.fq.gz"	"2MAc31-M-T4_1.fq.gz"
"RE177_1.fq.gz"	"2MAc34-M-T4_1.fq.gz"
"RE178_1.fq.gz"	"2MAc41-M-T4_1.fq.gz"
"RE179_1.fq.gz"	"2MAc48-M-T4_1.fq.gz"
"RE180_1.fq.gz"	"2MAc50-M-T4_1.fq.gz"
"RE181_1.fq.gz"	"2MAc62-M-T4_1.fq.gz"
"RE182_1.fq.gz"	"2MAcCM5-M-T4_1.fq.gz"
"RE191_1.fq.gz"	"2MAc07-C-T5_1.fq.gz"
"RE193_1.fq.gz"	"2MAc34-C-T5_1.fq.gz"
"RE194_1.fq.gz"	"2MAc41-C-T5_1.fq.gz"
"RE196_1.fq.gz"	"2MAc50-C-T5_1.fq.gz"
"RE197_1.fq.gz"	"2MAcCM5-C-T5_1.fq.gz"
"RE198_1.fq.gz"	"2MAc62-C-T5_1.fq.gz"
"RE199_1.fq.gz"	"2MAc07-L-T5_1.fq.gz"
"RR144_1.fq.gz"	"2MAc41-L-T5_1.fq.gz"
"RR145_1.fq.gz"	"2MAc48-L-T5_1.fq.gz"
"RR146_1.fq.gz"	"2MAc50-L-T5_1.fq.gz"
"RR148_1.fq.gz"	"2MAcCM5-L-T5_1.fq.gz"
"RR149_1.fq.gz"	"2MAc07-M-T5_1.fq.gz"
"RR150_1.fq.gz"	"2MAc31-M-T5_1.fq.gz"
"RR151_1.fq.gz"	"2MAc34-M-T5_1.fq.gz"
"RR152_1.fq.gz"	"2MAc41-M-T5_1.fq.gz"
"RR156_1.fq.gz"	"2MAcCM5-M-T5_1.fq.gz"
